Locode,Phrase,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,AvgMsv,Competition,CostPerClick
AU,2000 chevy malibu,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
AU,2000 chevy malibu,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
AU,2005 mustang,70.0,70.0,70.0,50.0,70.0,70.0,70.0,70.0,70.0,110.0,110.0,90.0,70.0,0.007849293563579001,
AU,2015 porsche 918 spyder,10.0,20.0,30.0,30.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,10.0,20.0,0.038095238095238,
AU,2015 prius,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.48571428571429,1.9229939999999999
AU,2016 cadillac srx,90.0,40.0,10.0,30.0,20.0,20.0,30.0,20.0,20.0,20.0,10.0,10.0,30.0,0.20408163265306,
AU,2017 lincoln continental,70.0,40.0,30.0,40.0,50.0,30.0,90.0,70.0,50.0,70.0,50.0,70.0,50.0,0.007722007722007,
AU,22 long rifle ammo,20.0,30.0,30.0,30.0,30.0,20.0,40.0,30.0,40.0,50.0,50.0,40.0,30.0,,
AU,22 rifles for sale,260.0,320.0,260.0,210.0,260.0,260.0,170.0,260.0,170.0,210.0,170.0,110.0,210.0,0.21605667060213,0.0213
AU,24 hour clinic,390.0,390.0,390.0,480.0,390.0,480.0,480.0,590.0,480.0,480.0,480.0,590.0,480.0,0.081122449,3.075872
AU,24hr fitness,140.0,140.0,140.0,140.0,140.0,140.0,140.0,90.0,110.0,170.0,140.0,170.0,140.0,0.048824593000000006,0.485687
AU,2fa,320.0,390.0,720.0,480.0,590.0,480.0,720.0,720.0,390.0,590.0,880.0,720.0,590.0,0.144492132,9.599927000000001
AU,3d background,480.0,590.0,720.0,480.0,590.0,590.0,480.0,480.0,480.0,480.0,590.0,480.0,590.0,0.047988904299584,
